,title,sort,date,genre,genre.2,genre.3,int.ext.ratio,int.ext.weighted,int.percent,int.weight.ratio
45,American-Splendor,  61,2003,drama,comedy,drama,3.6206896552,1.7896467465,0.7835820896,0.4942833871
46,"American,-The",  63,2010,crime,drama,action,0.5769230769,0.2742847522,0.3658536585,0.4754269037
47,"Amityville-Asylum,-The",  64,2013,horror,,,8.2,6.203960396,0.8913043478,0.7565805361
48,Amour,  65,2012,drama,drama,,59,57.7258418741,0.9833333333,0.9784040996
49,An-Education,  66,2009,drama,,,2.3636363636,1.3424998951,0.7027027027,0.5679807249
50,Analyze-That,  67,2002,comedy,crime,,1.2545454545,0.8079417522,0.5564516129,0.6440115416
51,Analyze-This,  68,1999,comedy,crime,,1.2173913043,0.7329288525,0.5490196078,0.6020487002
52,Anastasia,  69,1997,drama,adventure,drama,1.0606060606,0.6690167438,0.5147058824,0.6307872156
53,Angel-Eyes,  70,2001,drama,drama,,1.24,0.603498848,0.5535714286,0.4866926194
54,Anna-Karenina,  72,2012,drama,drama,,2.6527777778,1.6135680216,0.7262357414,0.6082560081
55,"Anniversary-Party,-The",  74,2001,comedy,drama,drama,2.5217391304,1.1260150699,0.7160493827,0.4465232174
56,Anonymous,  75,2011,drama,history ,action,1.5072463768,1.007059742,0.6011560694,0.6681454057
57,Antitrust,  76,2001,crime,drama,action,3.4545454545,1.7797302981,0.7755102041,0.5151850863
58,Antz,  77,1998,comedy,adventure,comedy,1.6666666667,0.8515293029,0.625,0.5109175817
59,Apt-Pupil,  80,1998,drama,action,,4.5,1.5554231228,0.8181818182,0.3456495828
60,Arbitrage,  81,2012,drama,action,,2.5483870968,1.6750669143,0.7181818182,0.6573047385
61,Arcade,  82,1993,horror,sci-fi,,1.125,0.7192509248,0.5294117647,0.6393341554
62,Arctic-Blue,  83,1993,action,action,,0.8536585366,0.4555693569,0.4605263158,0.5336669609
63,Argo,  84,2012,drama,history,action,3.7258064516,2.3032928113,0.7883959044,0.6181998022
64,Armageddon,  85,1998,sci-fi,adventure,action,1.962962963,0.8798711538,0.6625,0.4482362481
65,Army-of-Darkness,  86,1992,fantasy,comedy,horror,0.6481481481,0.4242816823,0.393258427,0.6546060242
66,Arthur,  88,2011,comedy,drama,,2.1463414634,1.0745259008,0.6821705426,0.5006313856
67,"Artist,-The",  89,2011,comedy,drama,drama,2.4,1.3462282398,0.7058823529,0.5609284333
68,As-Good-As-It-Gets,  90,1997,comedy,drama,drama,3.1034482759,2.1477759972,0.756302521,0.6920611547
69,Assassins,  91,1995,action,crime,action,2.75,1.9551381559,0.7333333333,0.7109593294
70,"Assignment,-The",  92,1997,action,crime,action,1.0526315789,0.6789346312,0.5128205128,0.6449878996
71,August-Osage-County,  93,2013,drama,,,2.7368421053,1.534146676,0.7323943662,0.5605535931
72,Austin-Powers---International-Man-of-Mystery,  94,1997,comedy,,,2.0697674419,1.553388515,0.6742424242,0.7505135522
73,Austin-Powers---The-Spy-Who-Shagged-Me,  95,1999,action,adventure,comedy,1.4090909091,0.9674109599,0.5849056604,0.6865497135
74,Authors-Anonymous,  96,2014,comedy,,,2.0243902439,1.2508097112,0.6693548387,0.6178698573
75,Autumn-in-New-York,  97,2000,drama,,,1.9411764706,1.312084474,0.66,0.6759223048
