film,STREET,3557,infrastructure
film,HOUSE,3319,residential
film,ROAD,1063,infrastructure
film,BUILDING,861,infrastructure
film,LOT,838,infrastructure
film,PARKING,820,transport
film,PARK,728,leisure
film,HOTEL,671,commercial
film,CITY,664,infrastructure
film,STATION,663,government
film,APARTMENT,646,residential
film,CAR,633,transport
film,FIELD,598,nature
film,HIGHWAY,580,transport
film,DESERT,561,nature
film,STREETS,552,transport
film,HOME,502,residential
film,SCHOOL,464,educational
film,ALLEY,440,infrastructure
film,BEACH,439,nature
film,SPACE,432,nature
film,YARD,406,residential
film,FOREST,384,nature
film,OUTSIDE,382,nature
film,CAMP,381,nature
film,RIVER,373,nature
film,WOODS,345,nature
film,BRIDGE,344,infrastructure
film,SQUARE,340,infrastructure
film,NEIGHBORHOOD,309,residential
film,PORCH,305,residential
film,AIRPORT,302,transport
film,MOTEL,300,residential
film,TOWN,296,infrastructure
film,HOSPITAL,294,government
film,ENTRANCE,284,liminal
film,GARDEN,278,nature
film,OFFICE,272,commercial
film,COUNTRY,271,infrastructure
film,DECK,271,residential
film,MOUNTAIN,263,nature
film,VILLAGE,258,nature
film,YORK,250,infrastructure
film,LAKE,248,nature
film,STORE,246,commercial
film,ROOM,245,residential
film,BACKYARD,242,residential
film,TRAIN,242,transport
film,FARM,229,commercial
film,COURTYARD,227,residential
film,POLICE,219,government
film,BUS,218,transport
film,CEMETERY,218,nature
film,POOL,218,leisure
film,GAS,208,infrastructure
film,CHURCH,207,religious
film,CASTLE,203,residential
film,BAR,202,leisure
film,SKY,199,nature
film,DRIVEWAY,198,residential
film,BOAT,196,transport
film,RESTAURANT,194,leisure
film,DOOR,192,liminal
film,LONDON,192,infrastructure
film,CLUB,191,leisure
film,BANK,190,commercial
film,TRAILER,190,residential
film,ST,189,infrastructure
film,SHOP,185,commercial
film,MANSION,176,residential
film,AVENUE,174,infrastructure
film,ESTATE,171,residential
film,WAREHOUSE,171,commercial
film,OCEAN,169,nature
film,DOWNTOWN,168,infrastructure
film,ISLAND,168,nature
film,HALL,164,liminal
film,GATE,160,liminal
film,SUBURBAN,160,residential
film,CLEARING,159,nature
film,MOVING,158,commercial
film,BALCONY,155,residential
film,MED,155,government
film,JUNGLE,154,nature
film,TOWER,153,infrastructure
film,MALL,147,commercial
film,GARAGE,146,residential
film,STADIUM,146,leisure
film,WASHINGTON,146,infrastructure
film,HILL,144,nature
film,CENTER,142,government
film,RANCH,142,commercial
film,CABIN,141,nature
film,TRUCK,141,transport
film,COUNTRYSIDE,138,nature
film,CAFE,137,leisure
film,CAMPUS,136,educational
film,COMPOUND,136,government
film,DOCK,136,transport
film,LA,135,infrastructure
film,MANHATTAN,131,infrastructure
film,SHIP,129,transport
film,CANYON,126,nature
film,FREEWAY,126,transport
film,PRISON,122,government
film,PHONE,121,liminal
film,ANGELES,119,infrastructure
film,HOLLYWOOD,119,commercial
film,MARKET,119,commercial
film,PALACE,119,residential
film,VAN,117,transport
film,BASE,116,government
film,PARIS,115,infrastructure
film,PLATFORM,114,government
film,PATIO,113,residential
film,WINDOW,113,residential
film,COTTAGE,112,residential
film,PLACE,112,infrastructure
film,ROADSIDE,112,infrastructure
film,SANTA,112,infrastructure
film,HILLS,108,nature
film,TRACK,108,infrastructure
film,VALLEY,107,nature
film,THEATER,104,leisure
film,MOUNTAINS,103,nature
film,SEA,103,nature
film,LAWN,101,residential
film,INN,100,residential
film,SIDEWALK,98,infrastructure
film,TERRACE,97,residential
film,STAR,95,nature
film,FARMHOUSE,91,residential
film,GOTHAM,91,infrastructure
film,HILLSIDE,91,nature
film,PLAZA,91,commercial
film,WHITE,90,government
film,BOOTH,89,liminal
film,CORNER,88,liminal
film,BERLIN,87,infrastructure
film,RESIDENTIAL,86,residential
film,TREE,86,nature
film,BARN,84,residential
film,HARBOR,84,transport
film,DRIVE,83,transport
film,TRAIL,82,nature
film,UNDERWATER,82,nature
film,GRAND,81,nature
film,TUNNEL,81,liminal
film,COURTHOUSE,80,government
film,HALLWAY,80,liminal
