film,HOUSE,5490,residential,domestic
film,OFFICE,4199,commercial,workplace
film,BEDROOM,3629,residential,domestic
film,APARTMENT,3567,residential,domestic
film,CAR,2633,transport,liminal
film,HALLWAY,2134,liminal,liminal
film,KITCHEN,2114,residential,domestic
film,HOTEL,2065,commercial,domestic
film,LIVING,2055,residential,domestic
film,CORRIDOR,1447,liminal,liminal
film,HALL,1345,liminal,liminal
film,HOSPITAL,1176,government,workplace
film,BATHROOM,1156,residential,liminal
film,HOME,1080,residential,domestic
film,STATION,985,government,workplace
film,LOBBY,906,liminal,liminal
film,BUILDING,850,infrastructure,other
film,BAR,802,leisure,workplace
film,SUITE,597,residential,domestic
film,RESTAURANT,578,leisure,workplace
film,POLICE,574,government,workplace
film,COCKPIT,558,transport,workplace
film,SCHOOL,548,educational,workplace
film,BRIDGE,540,infrastructure,other
film,CABIN,501,residential,other
film,DINING,501,residential,domestic
film,CELL,483,government,workplace
film,ELEVATOR,482,liminal,liminal
film,SHOP,473,commercial,workplace
film,MOTEL,468,commercial,domestic
film,STORE,459,commercial,workplace
film,CLUB,440,leisure,other
film,BASEMENT,439,residential,liminal
film,STUDIO,433,commercial,workplace
film,AIRPORT,424,transport,workplace
film,GARAGE,423,transport,workplace
film,BANK,412,commercial,workplace
film,CONTROL,396,government,workplace
film,VAN,383,transport,liminal
film,TRAIN,379,transport,liminal
film,TUNNEL,368,infrastructure,liminal
film,CITY,357,infrastructure,other
film,CHAMBER,347,government,other
film,BUS,344,transport,liminal
film,CHURCH,341,religious,workplace
film,WAREHOUSE,336,commercial,workplace
film,LIBRARY,333,educational,workplace
film,BOOTH,331,commercial,other
film,CONFERENCE,331,commercial,workplace
film,STUDY,325,educational,workplace
film,LAB,324,educational,workplace
film,TRUCK,315,transport,liminal
film,STREET,311,infrastructure,liminal
film,PALACE,293,residential,domestic
film,STAGE,287,commercial,workplace
film,CLASSROOM,286,educational,workplace
film,SET,278,commercial,other
film,PRISON,274,government,workplace
film,MED,271,government,workplace
film,LOCKER,259,commercial,other
film,GYM,258,leisure,other
film,CASINO,254,leisure,other
film,COURTROOM,254,government,workplace
film,DORM,254,religious,domestic
film,FOYER,252,residential,liminal
film,MANSION,248,residential,domestic
film,DRESSING,242,residential,domestic
film,MASTER,242,residential,domestic
film,SECURITY,238,commercial,workplace
film,ENTRANCE,236,liminal,liminal
film,SUBWAY,235,transport,liminal
film,BAY,234,transport,workplace
film,TOWER,233,commercial,domestic
film,CASTLE,226,residential,other
film,FLAT,226,residential,domestic
film,JAIL,226,government,workplace
film,CAB,223,transport,liminal
film,STAIRWELL,223,liminal,liminal
film,THEATER,215,commercial,workplace
film,YORK,213,infrastructure,other
film,HEADQUARTERS,210,government,workplace
film,HORIZON,209,liminal,other
film,PENTHOUSE,209,residential,domestic
film,TRAILER,206,religious,domestic
film,LOUNGE,205,residential,domestic
film,ST,205,infrastructure,other
film,BACKSTAGE,200,commercial,liminal
film,DINER,196,leisure,workplace
film,EVENT,196,leisure,other
film,TENT,195,residential,other
film,COFFEE,192,leisure,other
film,DEN,188,residential,other
film,SHIP,187,transport,other
film,LOFT,184,residential,domestic
film,COTTAGE,181,residential,domestic
film,PARK,180,leisure,other
film,APT,176,residential,domestic
film,FAMILY,173,residential,domestic
film,HELICOPTER,172,transport,liminal
film,RECEPTION,172,commercial,workplace
film,FBI,169,government,workplace
film,COMMAND,164,government,workplace
film,COUNTY,164,residential,domestic
film,OFFICES,163,commercial,workplace
film,VAULT,162,commercial,workplace
film,TAXI,159,transport,liminal
film,FACTORY,156,commercial,workplace
film,AUDITORIUM,155,educational,workplace
film,UNDERGROUND,155,transport,liminal
film,QUARTERS,154,government,domestic
film,STATE,154,government,workplace
film,DESK,153,commercial,workplace
film,PARKING,153,transport,liminal
film,BALLROOM,150,leisure,domestic
film,CAFE,150,leisure,other
film,HQ,150,government,workplace
film,STORAGE,150,commercial,liminal
film,INN,149,residential,domestic
film,TV,148,liminal,liminal
film,STAIRS,147,liminal,liminal
film,INTERROGATION,145,government,workplace
film,CIA,144,government,workplace
film,DRIVING,144,transport,liminal
film,FARM,143,commercial,workplace
film,LONDON,143,infrastructure,other
film,SPACE,143,infrastructure,other
film,CAFETERIA,142,leisure,workplace
film,TERMINAL,142,transport,workplace
film,DEPARTMENT,141,government,workplace
film,WARD,139,government,workplace
film,ENTERPRISE,138,commercial,workplace
film,PARLOR,138,commercial,domestic
film,STAIRWAY,137,liminal,domestic
film,EMBASSY,135,government,workplace
film,WAITING,135,commercial,other
film,MUSEUM,134,educational,workplace
film,COURT,131,government,workplace
film,ROAD,130,infrastructure,other
film,SUBURBAN,130,residential,domestic
film,FUNERAL,129,residential,domestic
film,ORLEANS,129,infrastructure,domestic
film,CRUISER,127,transport,liminal
film,FARMHOUSE,127,commercial,other
film,CHAPEL,126,religious,other
film,SQUARE,123,infrastructure,other
film,CAVE,122,residential,domestic
film,MALL,122,commercial,workplace
film,PARIS,122,infrastructure,other
film,PARTY,122,leisure,domestic
film,BARN,121,commercial,domestic
