"title","X","sort","date","genre","genre.2","genre.3","int.ext.ratio","int.ext.weighted","int.percent","int.weight.ratio","int.0.0","int.0.0~0.25","int.0.25~0.50","int.0.50~0.75","int.0.75~1.0","int.1.0","dom.0.0","dom.0.0~0.25","dom.0.25~0.50","dom.0.50~0.75","dom.0.75~1.0","dom.1.0","work.0.0","work.0.0~0.25","work.0.25~0.50","work.0.50~0.75","work.0.75~1.0","work.1.0"
"14","50-50"," 14","  13","2011","comedy","drama",""," 2.65384615"," 1.88337301","0.72631579","0.7096768",0,0.71,0.76,0.79,0.61,0,0,0.25,0.5,0.39,0.53,1,0,0.75,0.5,0.61,0.47,0
"15","500-Days-of-Summer"," 15","  16","2009","comedy","drama","drama"," 3.20000000"," 2.24160963","0.76190476","0.7005030",0,0.83,0.67,0.83,0.67,1,0,0.4,0.67,0.8,0,1,0,0.6,0.33,0.2,1,0
"16","8MM"," 16","   1","1999","fantasy","drama","fantasy"," 1.81000000"," 1.23155403","0.64412811","0.6804166",1,0.65,0.63,0.62,0.68,1,0,0.5,NA,NA,NA,0,0,0.5,NA,NA,NA,0
"17","9"," 17","   2","2009","action","animation","adventure "," 1.26923077"," 0.65047322","0.55932203","0.5124941",1,0.67,0.67,0.6,0.29,0,0,0.11,0.2,0.25,0,0,1,0.89,0.8,0.75,1,0
"18","A-Few-Good-Men"," 18","  20","1992","drama","action",""," 2.20833333"," 1.51364372","0.68831169","0.6854236",0,0.4,0.65,0.9,0.82,1,1,0.17,0.45,0.55,0.5,0,0,0.83,0.55,0.45,0.5,1
"19","Above-the-Law"," 19","  22","1988","action","crime","drama"," 1.30000000"," 0.80349640","0.56521739","0.6180742",0,0.46,0.59,0.64,0.59,1,0,0.28,0.14,0.7,0.84,1,0,0.72,0.86,0.3,0.16,0
"20","Absolute-Power"," 20","  23","1997","action","crime","drama"," 1.51937985"," 1.03420014","0.60307692","0.6806725",1,0.79,0.55,0.58,0.53,1,0,0.65,0.65,0.6,0.5,1,1,0.35,0.35,0.4,0.5,1
"21","Abyss,-The"," 21","  24","1989","sci-fi","drama","sci-fi"," 1.87341772"," 1.23973435","0.65198238","0.6617501",0,0.59,0.67,0.81,0.46,1,0,0.18,0.14,0.31,0.11,0,0,0.82,0.86,0.69,0.89,0
"22","Adaptation"," 22","  25","2002","comedy","drama",""," 2.19047619"," 1.29860955","0.68656716","0.5928435",0,0.65,0.75,0.78,0.57,1,0,0.67,0.59,0.83,0.5,1,0,0.33,0.41,0.17,0.5,0
"23","Addams-Family,-The"," 23","  26","1991","fantasy","",""," 1.28571429"," 0.87388393","0.56250000","0.6796875",0,0.67,0.35,0.56,0.71,1,1,0.55,0.29,0.71,0.43,0,0,0.45,0.71,0.29,0.57,0
"24","Adjustment-Bureau,-The"," 24","  27","2011","sci-fi","drama","action"," 1.67021277"," 0.93888524","0.62549801","0.5621351",1,0.6,0.53,0.71,0.66,0,0,0.54,0.4,0.16,0.29,0,0,0.46,0.6,0.84,0.71,0
"25","Affliction"," 25","  29","1997","fantasy","drama","action"," 0.65957447"," 0.41223985","0.39743590","0.6250088",1,0.32,0.45,0.41,0.45,0,0,0.7,0.85,0.47,0.53,0,1,0.3,0.15,0.53,0.47,0
