"title","X","sort","date","genre","genre.2","genre.3","int.ext.ratio","int.ext.weighted","int.percent","int.weight.ratio","int.0.0","int.0.0~0.25","int.0.25~0.50","int.0.50~0.75","int.0.75~1.0","int.1.0","dom.0.0","dom.0.0~0.25","dom.0.25~0.50","dom.0.50~0.75","dom.0.75~1.0","dom.1.0","work.0.0","work.0.0~0.25","work.0.25~0.50","work.0.50~0.75","work.0.75~1.0","work.1.0"
"105","Big-Blue,-The","105"," 138","1988","action","adventure","drama"," 0.78409091"," 0.36892263","0.43949045","0.4705100",0,0.31,0.48,0.64,0.33,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"106","Big-Fish","106"," 139","2003","fantasy","drama","fantasy"," 1.07777778"," 0.60095477","0.51871658","0.5575869",1,0.49,0.4,0.53,0.65,0,1,0.54,0.87,0.5,0.41,1,0,0.46,0.13,0.5,0.59,0
"107","Big-White,-The","107"," 141","2005","comedy","crime","drama"," 1.55737705"," 0.91870236","0.60897436","0.5899036",1,0.55,0.59,0.77,0.54,0,0,0.33,0.54,0.49,0.55,1,0,0.67,0.46,0.51,0.45,0
"108","Birthday-Girl","108"," 144","2001","comedy","crime","action"," 2.00000000"," 1.02082886","0.66666667","0.5104144",0,0.74,0.79,0.66,0.48,0,0,0.7,0.76,0.29,0.54,0,0,0.3,0.24,0.71,0.46,1
"109","Black-Dahlia,-The","109"," 145","2006","fantasy","drama","crime"," 1.86666667"," 1.15516003","0.65116279","0.6188357",0,0.67,0.7,0.59,0.59,1,0,0.61,0.59,0.57,0.59,1,0,0.39,0.41,0.43,0.41,0
"110","Black-Rain","110"," 146","1989","action","crime","action"," 1.05660377"," 0.65422059","0.51376147","0.6191731",0,0.64,0.46,0.46,0.48,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"111","Black-Snake-Moan","111"," 147","2006","drama","music",""," 1.41071429"," 0.91946800","0.58518519","0.6517748",0,0.5,0.71,0.53,0.59,1,1,0.81,0.93,0.77,0.96,0,0,0.19,0.07,0.23,0.04,0
"112","Black-Swan","112"," 148","2010","drama","action","","15.00000000"," 7.64450411","0.93750000","0.5096336",1,0.93,0.93,0.96,0.93,1,0,0.63,0.68,0.6,0.48,1,1,0.37,0.32,0.4,0.52,0
"113","Blade","113"," 151","1998","action","horror",""," 3.19230769"," 1.96951377","0.76146789","0.6169561",1,0.71,0.82,0.64,0.88,1,1,0.33,0.67,0.35,0.29,0,1,0.67,0.33,0.65,0.71,0
"114","Blade-Trinity","114"," 150","2004","fantasy","adventure","crime"," 1.87096774"," 1.31600185","0.65168539","0.7033803",0,0.59,0.62,0.62,0.8,1,0,0.68,0.33,0.45,0.85,0,0,0.32,0.67,0.55,0.15,1
"115","Blind-Side,-The","115"," 152","2009","drama","drama","sport"," 1.93939394"," 0.96247894","0.65979381","0.4962782",0,0.64,0.71,0.65,0.66,1,0,0.53,0.65,0.5,0.7,0,0,0.47,0.35,0.5,0.3,0
"116","Bling-Ring,-The","116"," 153","2013","drama","crime","biography"," 1.56862745"," 0.99306185","0.61068702","0.6330769",0,0.48,0.67,0.7,0.59,0,1,0.67,0.82,0.68,0.64,0,0,0.33,0.18,0.32,0.36,1
"117","Blood-and-Wine","117"," 154","1996","crime","drama","action"," 1.59259259"," 1.01563170","0.61428571","0.6377222",1,0.6,0.63,0.63,0.6,0,0,0.32,0.7,0.38,0.7,0,1,0.68,0.3,0.62,0.3,0
"118","Blow","118"," 156","2001","drama","crime","drama"," 1.25675676"," 0.78360396","0.55688623","0.6235128",0,0.4,0.57,0.65,0.63,0,0,0.38,0.58,0.7,0.73,0,0,0.62,0.42,0.3,0.27,0
"119","Blue-Valentine","119"," 157","2010","drama","drama",""," 2.80000000"," 1.56461697","0.73684211","0.5587918",0,0.6,0.74,0.75,0.7,0,1,0.81,0.93,0.88,0.78,1,0,0.19,0.07,0.12,0.22,0
"120","Bodies,-Rest-&-Motion","120"," 159","1993","drama","",""," 1.96000000"," 1.24222191","0.66216216","0.6337867",1,0.71,0.73,0.59,0.56,0,0,0.91,0.64,0.82,0.86,0,1,0.09,0.36,0.18,0.14,0
"121","Body-of-Evidence","121"," 161","1993","drama","drama","action"," 3.61111111"," 2.37106095","0.78313253","0.6566015",1,0.76,0.71,0.9,0.75,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"122","Bodyguard","122"," 162","1992","action","drama","music"," 2.01351351"," 1.07966473","0.66816144","0.5362093",1,0.48,0.72,0.7,0.76,1,0,0.48,0.61,0.83,0.23,0,1,0.52,0.39,0.17,0.77,0
"123","Bonfire-of-the-Vanities","123"," 163","1990","comedy","drama",""," 1.97368421"," 1.30086411","0.66371681","0.6591045",0,0.48,0.69,0.76,0.73,1,0,0.83,0.4,0.4,0.5,0,0,0.17,0.6,0.6,0.5,1
"124","Boogie-Nights","124"," 165","1997","drama","",""," 2.78571429"," 1.44021759","0.73584906","0.5170012",0,0.7,0.85,0.85,0.55,0,0,0.86,0.63,0.7,0.52,0,0,0.14,0.37,0.3,0.48,0
"125","Book-of-Eli,-The","125"," 166","2010","action","adventure","drama"," 0.81481481"," 0.46578864","0.44897959","0.5716497",0,0.52,0.56,0.28,0.43,0,0,0.5,0.5,1,0.09,0,0,0.5,0.5,0,0.91,0
"126","Boondock-Saints-2-All-Saints-Day","126"," 167","2009","action","comedy","crime"," 2.29090909"," 1.32081799","0.69613260","0.5765475",0,0.65,0.7,0.71,0.72,1,0,0.26,0.53,0.88,0.73,0,0,0.74,0.47,0.12,0.27,0
"127","Boondock-Saints,-The","127"," 168","1999","action","crime","action"," 3.33333333"," 1.96945967","0.76923077","0.5908379",1,0.73,0.89,0.61,0.85,1,0,0.55,0.5,1,0,0,0,0.45,0.5,0,1,0
"128","Bound","128"," 169","1996","crime","drama","drama","12.23076923"," 7.94502548","0.92441860","0.6495933",1,0.84,0.98,0.95,0.93,0,0,NA,1,1,NA,0,0,NA,0,0,NA,0
"129","Bourne-Identity,-The","129"," 171","2002","action","fantasy","action"," 1.88888889"," 1.21004726","0.65384615","0.6406133",0,0.7,0.65,0.66,0.59,1,0,0.12,0.36,0.43,0.24,0,0,0.88,0.64,0.57,0.76,1
"130","Bourne-Supremacy,-The","130"," 172","2004","action","action",""," 1.41406250"," 0.94334353","0.58576052","0.6671159",0,0.52,0.62,0.63,0.55,1,0,0.31,0.41,0.65,0.33,0,0,0.69,0.59,0.35,0.67,1
"131","Bourne-Ultimatum,-The","131"," 173","2007","action","action",""," 1.75609756"," 1.01880223","0.63716814","0.5801513",0,0.62,0.74,0.57,0.6,0,0,0.27,0.21,0.1,0.07,0,0,0.73,0.79,0.9,0.93,0
"132","Box,-The","132"," 174","2009","sci-fi","fantasy","action"," 2.59322034"," 1.36523498","0.72169811","0.5264632",1,0.53,0.52,0.48,0.38,1,1,0.52,0.6,0.21,0.8,1,0,0.48,0.4,0.79,0.2,0
"133","Braveheart","133"," 175","1995","drama","drama","history"," 0.55405405"," 0.24328848","0.35652174","0.4391060",0,0.45,0.1,0.48,0.41,0,0,0.6,0.6,0.75,0.71,0,0,0.4,0.4,0.25,0.29,0
"134","Breakdown","134"," 177","1997","fantasy","drama","crime"," 0.75862069"," 0.46680262","0.43137255","0.6153307",0,0.37,0.44,0.41,0.58,0,0,0.33,0,0.17,0.57,1,1,0.67,1,0.83,0.43,0
"135","Brick","135"," 180","2005","fantasy","drama","crime"," 0.62666667"," 0.34018229","0.38524590","0.5428441",0,0.32,0.26,0.52,0.45,0,0,0.4,0.09,0.54,0.85,0,0,0.6,0.91,0.46,0.15,0
"136","Bridesmaids","136"," 181","2011","comedy","drama",""," 2.92307692"," 1.38109937","0.74509804","0.4724814",1,0.67,0.73,0.75,0.75,0,0,0.59,0.61,0.71,0.71,0,0,0.41,0.39,0.29,0.29,1
"137","Bringing-Out-the-Dead","137"," 182","1999","drama","action",""," 0.92105263"," 0.47854246","0.47945205","0.5195604",0,0.26,0.5,0.63,0.56,1,0,NA,0.4,0.67,1,0,0,NA,0.6,0.33,0,0
"138","Broken-Arrow","138"," 183","1996","action","adventure","comedy"," 1.16867470"," 0.63121734","0.53888889","0.5401138",1,0.59,0.46,0.57,0.57,1,0,0,0,0,0,0,0,1,1,1,1,0
"139","Broken-Embraces","139"," 184","2009","drama","drama","action"," 2.24000000"," 1.43466723","0.69135802","0.6404764",1,0.72,0.7,0.52,0.83,1,1,0.7,0.68,0.33,0.76,1,0,0.3,0.32,0.67,0.24,0
"140","Brothers-Bloom,-The","140"," 185","2008","comedy","comedy","drama"," 0.78740157"," 0.45042533","0.44052863","0.5720402",0,0.35,0.46,0.46,0.5,0,0,0.61,0.48,0.65,0.54,0,0,0.39,0.52,0.35,0.46,0
"141","Bruce-Almighty","141"," 186","2003","fantasy","drama","comedy"," 1.47826087"," 0.86112119","0.59649123","0.5825232",1,0.62,0.55,0.66,0.56,1,1,0.25,0.67,0.62,0.55,0,0,0.75,0.33,0.38,0.45,0
"142","Bull-Durham","142"," 187","1988","comedy","drama","sport"," 1.00000000"," 0.58133280","0.50000000","0.5813328",0,0.53,0.55,0.59,0.34,0,1,0.75,0.71,0.83,0.93,1,0,0.25,0.29,0.17,0.07,0
"143","Burlesque","143"," 189","2010","drama","music","drama"," 3.10810811"," 1.94146260","0.75657895","0.6246445",1,0.71,0.87,0.84,0.61,1,1,0.62,0.8,0.74,0.78,1,1,0.38,0.2,0.26,0.22,0
"144","Burn-After-Reading","144"," 190","2008","comedy","crime","drama"," 3.74193548"," 2.20532351","0.78911565","0.5893537",0,0.76,0.76,0.71,0.73,1,0,0.53,0.59,0.74,0.55,0,0,0.47,0.41,0.26,0.45,1
"145","Burning-Annie","145"," 191","2004","comedy","drama","drama"," 3.42857143"," 2.12320835","0.77419355","0.6192691",1,0.76,0.8,0.72,0.71,1,0,0.23,0.44,0.45,0.57,0,0,0.77,0.56,0.55,0.43,0
"146","Butterfly-Effect,-The","146"," 192","2004","sci-fi","action",""," 1.74242424"," 0.94625987","0.63535912","0.5430709",1,0.52,0.5,0.7,0.84,1,0,0.63,0.68,0.53,0.46,0,1,0.37,0.32,0.47,0.54,0
"147","Cable-Guy","147"," 193","1996","comedy","drama","action"," 3.19047619"," 1.84491634","0.76136364","0.5782574",1,0.78,0.74,0.84,0.36,1,1,0.79,0.6,0.7,0.36,0,0,0.21,0.4,0.3,0.64,0
"148","Candle-to-Water","148"," 194","2012","drama","",""," 4.59090909"," 3.04498882","0.82113821","0.6632649",1,0.84,0.74,0.77,0.93,1,0,0.91,0.81,0.81,0.89,1,0,0.09,0.19,0.19,0.11,0
"149","Capote","149"," 195","2005","drama","crime","drama"," 3.00000000"," 1.94898492","0.75000000","0.6496616",0,0.64,0.74,0.69,0.87,1,1,0.63,0.47,0.34,0.58,1,1,0.37,0.53,0.66,0.42,0
"150","Carrie","150"," 196","2013","drama","horror",""," 2.50000000"," 1.47844671","0.71428571","0.5913787",0,0.71,0.68,0.76,0.71,1,1,0.67,0.62,0.5,1,1,0,0.33,0.38,0.5,0,0
"151","Cars-2","151"," 197","2011","comedy","adventure","comedy"," 0.63235294"," 0.33146555","0.38738739","0.5241781",0,0.46,0.39,0.41,0.3,0,0,0.4,0.33,0.5,1,0,0,0.6,0.67,0.5,0,0
"152","Case-39","152"," 198","2009","horror","fantasy","action"," 4.30000000"," 2.72740835","0.81132075","0.6342810",1,0.8,0.8,0.88,0.77,0,0,0.71,0.59,0.55,0.58,0,1,0.29,0.41,0.45,0.42,0
"153","Casino","153"," 199","1995","drama","crime","drama"," 2.21897810"," 1.44121352","0.68934240","0.6494943",0,0.83,0.74,0.71,0.46,0,0,0.49,0.35,0.73,0.69,1,1,0.51,0.65,0.27,0.31,0
"154","Cast-Away","154"," 200","2000","drama","drama",""," 0.39719626"," 0.25181056","0.28428094","0.6339701",0,0.52,0.04,0.35,0.23,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"155","Catch-Me-If-You-Can","155"," 201","2002","drama","crime","drama"," 3.15094340"," 1.91448604","0.75909091","0.6075914",1,0.67,0.79,0.83,0.74,1,0,0.41,0.43,0.4,0.19,0,0,0.59,0.57,0.6,0.81,1
"156","Catwoman","156"," 202","2004","action","",""," 1.43750000"," 0.91160590","0.58974359","0.6341606",1,0.48,0.62,0.76,0.49,1,0,0.58,0.62,0.38,0.3,1,0,0.42,0.38,0.62,0.7,0
"157","Cedar-Rapids","157"," 204","2011","comedy","",""," 5.16666667"," 2.95811642","0.83783784","0.5725387",1,0.84,0.76,0.94,0.62,0,0,0.74,0.58,0.54,0.57,0,0,0.26,0.42,0.46,0.43,0
"158","Celeste-&-Jesse-Forever","158"," 205","2012","comedy","drama","drama"," 2.05882353"," 1.11547292","0.67307692","0.5418011",1,0.7,0.64,0.55,0.61,0,0,0.5,0.53,0.65,0.33,0,0,0.5,0.47,0.35,0.67,1
"159","Cell,-The","159"," 206","2000","horror","sci-fi","action"," 3.86956522"," 2.96264350","0.79464286","0.7656270",1,0.71,0.71,1,0.75,0,0,0.41,0.5,0.2,0.35,1,1,0.59,0.5,0.8,0.65,0
"160","Cellular","160"," 207","2004","action","crime","drama"," 1.22368421"," 0.68432342","0.55029586","0.5592320",1,0.62,0.74,0.57,0.28,0,1,0.6,0.25,0.92,0.86,0,0,0.4,0.75,0.08,0.14,0
"161","Change-Up,-The","161"," 208","2011","comedy","",""," 2.95652174"," 1.81143423","0.74725275","0.6126910",1,0.74,0.92,0.65,0.64,0,1,0.56,0.67,0.22,0.53,0,0,0.44,0.33,0.78,0.47,0
"162","Changeling","162"," 209","2008","fantasy","history","drama"," 2.28070175"," 1.39796044","0.69518717","0.6129519",0,0.64,0.64,0.81,0.7,1,1,0.57,0.39,0.22,0.32,0,0,0.43,0.61,0.78,0.68,0
"163","Chaos","163"," 210","2005","action","crime","drama"," 1.46969697"," 0.84685136","0.59509202","0.5762081",0,0.59,0.66,0.51,0.62,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"164","Charlie's-Angels","164"," 212","2000","action","adventure","comedy"," 1.41666667"," 0.84999193","0.58620690","0.5999943",0,0.59,0.5,0.54,0.71,0,0,0.7,1,0.43,0.38,0,0,0.3,0,0.57,0.62,0
"165","Chasing-Sleep","165"," 214","2000","horror","fantasy","action","38.66666667","18.00062626","0.97478992","0.4655334",1,0.97,1,0.93,1,1,1,1,0.94,1,1,0,0,0,0.06,0,0,0
"166","Cherry-Falls","166"," 215","2000","fantasy","horror","comedy"," 1.36585366"," 0.80522219","0.57731959","0.5895377",0,0.48,0.64,0.56,0.62,1,0,1,1,0,NA,0,0,0,0,1,NA,0
"167","Christ-Complex","167"," 217","2012","comedy","fantasy",""," 1.68750000"," 0.59931451","0.62790698","0.3551493",1,0.58,0.67,0.5,0.9,1,0,0.86,1,1,0.8,0,0,0.14,0,0,0.2,0
"168","Chronicle","168"," 218","2012","sci-fi","drama","action"," 1.13888889"," 0.50374536","0.53246753","0.4423130",1,0.5,0.45,0.65,0.53,0,0,0.33,0.5,0.89,0.5,0,0,0.67,0.5,0.11,0.5,0
"169","Cider-House-Rules,-The","169"," 220","1999","drama","drama",""," 1.32894737"," 0.67786484","0.57062147","0.5100765",0,0.69,0.53,0.54,0.49,1,0,0.54,0.78,0.95,0.91,0,1,0.46,0.22,0.05,0.09,1
"170","Cinema-Paradiso","170"," 222","1988","drama","",""," 1.36111111"," 0.71883573","0.57647059","0.5281242",1,0.58,0.6,0.44,0.56,0,1,0.43,0.85,0.67,0.77,0,0,0.57,0.15,0.33,0.23,0
"171","Cirque-du-Freak-The-Vampire's-Assistant","171"," 223","2009","fantasy","adventure","action"," 1.23076923"," 0.73406967","0.55172414","0.5964316",0,0.64,0.55,0.54,0.52,0,0,0.79,0.6,0.3,0,0,1,0.21,0.4,0.7,1,1
"172","City-of-Joy","172"," 225","1992","drama","",""," 0.66326531"," 0.36692967","0.39877301","0.5532170",0,0.47,0.3,0.42,0.45,0,0,0.14,0.21,0.18,0.25,0,0,0.86,0.79,0.82,0.75,0
"173","Clash-of-the-Titans","173"," 226","2010","fantasy","adventure","action"," 0.39423077"," 0.24270499","0.28275862","0.6156419",0,0.43,0.27,0.19,0.24,0,0,0.85,0.67,0.67,0.4,0,0,0.15,0.33,0.33,0.6,0
"174","Cliffhanger","174"," 228","1993","action","adventure","action"," 0.50769231"," 0.22685194","0.33673469","0.4468296",0,0.57,0.4,0.28,0.15,0,0,0.1,0.17,0.6,1,0,0,0.9,0.83,0.4,0,0
"175","Cobb","175"," 229","1994","drama","drama","sport"," 1.05084746"," 0.77372926","0.51239669","0.7362907",1,0.42,0.53,0.61,0.46,0,0,0.25,0.76,1,0.67,0,1,0.75,0.24,0,0.33,0
"176","Cold-Mountain","176"," 231","2003","drama","history","drama"," 0.48148148"," 0.21743190","0.32500000","0.4515893",0,0.42,0.36,0.37,0.16,0,0,0.08,0.3,0.27,0.29,0,0,0.92,0.7,0.73,0.71,1
"177","Collateral","177"," 233","2004","crime","drama","action"," 2.34693878"," 1.30184814","0.70121951","0.5547005",1,0.61,0.72,0.64,0.8,1,0,0.67,0,0,0,0,1,0.33,1,1,1,0
"178","Collateral-Damage","178"," 232","2002","action","drama","action"," 0.90000000"," 0.46716552","0.47368421","0.5190728",1,0.61,0.4,0.42,0.5,1,1,0.54,0,0.18,0.57,1,0,0.46,1,0.82,0.43,0
"179","Colombiana","179"," 234","2011","action","crime","drama"," 2.50632911"," 1.42052874","0.71480144","0.5667766",1,0.71,0.69,0.83,0.63,1,1,0.37,0.22,0.5,0.57,0,0,0.63,0.78,0.5,0.43,1
"180","Conan-the-Barbarian","180"," 237","2011","action","adventure","fantasy"," 0.62000000"," 0.37172653","0.38271605","0.5995589",0,0.38,0.14,0.48,0.56,0,0,0.33,NA,NA,1,1,0,0.67,NA,NA,0,0
"181","Confessions-of-a-Dangerous-Mind","181"," 238","2002","drama","comedy","crime"," 2.47540984"," 1.56215299","0.71226415","0.6310684",0,0.74,0.66,0.7,0.75,1,0,0.51,0.42,0.5,0.4,0,0,0.49,0.58,0.5,0.6,0
"182","Confidence","182"," 239","2003","crime","action",""," 1.89795918"," 1.17455901","0.65492958","0.6188537",0,0.61,0.61,0.64,0.76,1,0,0.33,0.29,0.09,0.06,0,0,0.67,0.71,0.91,0.94,1
"183","Constantine","183"," 240","2005","fantasy","drama","horror"," 1.98000000"," 1.18882569","0.66442953","0.6004170",0,0.67,0.62,0.71,0.6,0,0,0.57,0.5,0.31,0.3,0,0,0.43,0.5,0.69,0.7,0
"184","Cooler,-The","184"," 241","2003","drama","drama",""," 4.87500000"," 3.66393202","0.82978723","0.7515758",0,0.88,0.96,0.75,0.74,1,0,0.56,0.75,0.75,0.33,1,0,0.44,0.25,0.25,0.67,0
"185","Coraline","185"," 242","2009","fantasy","",""," 3.90476190"," 1.38432495","0.79611650","0.3545222",0,0.85,0.65,0.89,0.73,0,0,0.85,0.83,0.83,1,0,0,0.15,0.17,0.17,0,0
"186","Coriolanus","186"," 243","2011","drama","action","war"," 1.92307692"," 1.00995325","0.65789474","0.5251757",1,0.5,0.9,0.74,0.53,0,0,0.75,0.33,0.54,0.17,0,0,0.25,0.67,0.46,0.83,0
"187","Cowboys-&-Aliens","187"," 244","2011","sci-fi","drama","action"," 1.05769231"," 0.48372869","0.51401869","0.4573435",0,0.48,0.52,0.44,0.63,0,0,0,0.83,0.75,0.12,0,0,1,0.17,0.25,0.88,0
"188","Cradle-2-the-Grave","188"," 245","2003","action","crime","drama"," 3.64705882"," 1.86287541","0.78481013","0.5107884",0,0.91,0.77,0.7,0.65,1,0,0.11,0.44,0,0.33,0,0,0.89,0.56,1,0.67,1
"189","Crank","189"," 246","2006","action","crime","action"," 1.08333333"," 0.48450184","0.52000000","0.4472325",1,0.43,0.71,0.43,0.6,0,0,0,1,1,1,1,0,1,0,0,0,0
"190","Crash","190"," 247","2004","drama","",""," 1.00000000"," 0.58028155","0.50000000","0.5802816",0,0.58,0.5,0.54,0.41,1,0,0.27,0.3,0.23,0.46,0,0,0.73,0.7,0.77,0.54,0
"191","Crazy,-Stupid,-Love","191"," 248","2011","comedy","drama","drama"," 2.95238095"," 1.36691750","0.74698795","0.4629882",1,0.81,0.64,0.76,0.62,0,0,0.4,0.21,0.44,0.69,0,1,0.6,0.79,0.56,0.31,0
"192","Crazylove","192"," 249","2007","drama","",""," 3.87500000"," 2.19604613","0.79487179","0.5667216",1,0.87,0.83,0.77,0.7,0,1,0.37,0,0.38,0.43,0,0,0.63,1,0.62,0.57,1
"193","Creation","193"," 250","2009","drama","drama",""," 2.08000000"," 0.92492931","0.67532468","0.4446776",1,0.49,0.69,0.67,0.86,0,0,0.67,0.29,0.86,0.72,1,0,0.33,0.71,0.14,0.28,0
"194","Crime-Spree","194"," 251","2003","action","comedy","crime"," 1.41379310"," 0.94267071","0.58571429","0.6667671",1,0.55,0.7,0.64,0.45,0,0,0.5,0.67,0.75,0.57,0,0,0.5,0.33,0.25,0.43,0
"195","Croods,-The","195"," 252","2013","comedy","adventure","comedy"," 0.29411765"," 0.07786762","0.22727273","0.2647499",0,0.33,0,0.17,0.5,0,0,1,0,1,1,0,0,0,1,0,0,0
"196","Crouching-Tiger,-Hidden-Dragon","196"," 253","2000","action","drama","drama"," 0.68852459"," 0.46629526","0.40776699","0.6772384",0,0.32,0.41,0.41,0.52,1,0,0.17,0.5,0.83,0,0,0,0.83,0.5,0.17,1,0
"197","Croupier","197"," 254","1998","crime","drama",""," 5.33333333"," 3.04059041","0.84210526","0.5701107",1,0.84,0.84,0.79,0.89,1,0,0.46,0.65,0.89,0.56,1,0,0.54,0.35,0.11,0.44,0
"198","Crow-City-of-Angels,-The","198"," 255","1996","fantasy","action","action"," 0.71641791"," 0.47082745","0.41739130","0.6571966",0,0.31,0.59,0.45,0.32,0,0,0.44,0.44,0.79,0.89,0,0,0.56,0.56,0.21,0.11,0
"199","Crow,-The","199"," 256","1994","action","fantasy",""," 1.16363636"," 0.66330197","0.53781513","0.5700251",0,0.52,0.68,0.52,0.46,1,0,0.6,0.5,0.43,0.56,1,0,0.4,0.5,0.57,0.44,0
"200","Cruel-Intentions","200"," 257","1999","drama","drama",""," 2.08823529"," 1.17421280","0.67619048","0.5622991",0,0.54,0.74,0.68,0.79,1,0,0.56,0.68,0.65,0.95,0,0,0.44,0.32,0.35,0.05,0
"201","Crying-Game","201"," 258","1992","crime","drama","drama"," 1.26086957"," 0.85866348","0.55769231","0.6810090",0,0.62,0.37,0.54,0.69,1,0,0.69,0.67,0.62,0.86,1,0,0.31,0.33,0.38,0.14,0
"202","Curious-Case-of-Benjamin-Button,-The","202"," 259","2008","fantasy","drama","drama"," 1.93269231"," 1.21240641","0.65901639","0.6273148",1,0.68,0.64,0.57,0.75,1,1,0.77,0.85,0.69,0.72,1,1,0.23,0.15,0.31,0.28,1
"203","Custody","203"," 260","2007","drama","",""," 2.95744681"," 1.46710228","0.74731183","0.4960706",0,0.7,0.85,0.87,0.56,1,0,0.36,0.42,0.51,0.45,0,0,0.64,0.58,0.49,0.55,1
"204","Damned-United,-The","204"," 261","2009","drama","comedy","drama"," 1.63265306"," 0.89398059","0.62015504","0.5475631",0,0.7,0.42,0.68,0.68,0,0,0.5,0.91,0.74,0.67,0,0,0.5,0.09,0.26,0.33,0
"205","Dances-with-Wolves","205"," 262","1990","drama","drama","western"," 0.23423423"," 0.14740369","0.18978102","0.6293003",1,0.16,0.13,0.28,0.24,0,0,0.59,1,0.83,0.5,0,1,0.41,0,0.17,0.5,0
"206","Dark-City","206"," 263","1998","sci-fi","fantasy","drama"," 3.10714286"," 1.93330365","0.75652174","0.6222127",1,0.81,0.77,0.8,0.59,1,0,NA,0,NA,NA,0,0,NA,1,NA,NA,0
"207","Dark-Knight-Rises,-The","207"," 264","2012","action","action",""," 1.23741007"," 0.76324498","0.55305466","0.6168084",0,0.54,0.69,0.61,0.35,0,0,0.27,0.41,0.23,0.57,0,0,0.73,0.59,0.77,0.43,0
"208","Darkman","208"," 266","1990","fantasy","crime","action"," 1.53333333"," 0.98418142","0.60526316","0.6418574",1,0.53,0.47,0.63,0.79,1,0,0,0.62,0.57,0.45,0,0,1,0.38,0.43,0.55,0
"209","Date-Night","209"," 267","2010","comedy","crime","drama"," 2.19047619"," 0.99435303","0.68656716","0.4539438",1,0.71,0.71,0.65,0.69,0,1,0.88,0.45,1,0.82,1,0,0.12,0.55,0,0.18,0
"210","Dave-Barry's-Complete-Guide-to-Guys","210"," 268","2005","comedy","",""," 1.00000000"," 0.62598532","0.50000000","0.6259853",0,0.38,0.55,0.59,0.48,0,0,0.59,0.54,0.5,0.59,0,0,0.41,0.46,0.5,0.41,0
"211","Day-the-Earth-Stood-Still,-The","211"," 272","2008","sci-fi","drama","action"," 1.76470588"," 1.02451678","0.63829787","0.5805595",0,0.61,0.58,0.69,0.68,1,0,0.18,0.43,0.14,0.04,0,1,0.82,0.57,0.86,0.96,0
"212","Dead-Poets-Society","212"," 273","1989","drama","",""," 2.73913043"," 1.20974889","0.73255814","0.4416544",1,0.73,0.55,0.86,0.8,1,0,0.09,0.75,0.21,0.3,0,0,0.91,0.25,0.79,0.7,1
"213","Death-at-a-Funeral","213"," 274","2007","comedy","",""," 2.43478261"," 1.67032950","0.70886076","0.6860282",1,0.64,0.75,0.85,0.57,0,1,0.88,0.79,0.28,0.67,1,0,0.12,0.21,0.72,0.33,0
"214","Death-to-Smoochy","214"," 275","2002","comedy","crime","drama"," 1.80487805"," 1.10885260","0.64347826","0.6143643",0,0.72,0.59,0.63,0.61,0,0,0.24,0.37,0.4,0.5,0,1,0.76,0.63,0.6,0.5,0
"215","Debt,-The","215"," 276","2010","drama","action",""," 1.71186441"," 1.00411882","0.63125000","0.5865645",1,0.47,0.56,0.67,0.8,1,0,0.78,0.75,0.62,0,0,0,0.22,0.25,0.38,1,0
"216","Deception","216"," 277","2008","fantasy","drama","crime"," 4.05555556"," 2.44337698","0.80219780","0.6024765",0,0.87,0.81,0.76,0.76,0,0,0.46,0.72,0.45,0.67,0,0,0.54,0.28,0.55,0.33,0
"217","Deep-Cover","217"," 278","1992","action","crime","action"," 1.04761905"," 0.63233491","0.51162791","0.6035924",0,0.51,0.53,0.62,0.49,0,0,0.58,0.5,0.36,0.29,0,0,0.42,0.5,0.64,0.71,0
"218","Departed,-The","218"," 282","2006","crime","drama","action"," 1.84722222"," 1.13728604","0.64878049","0.6156736",1,0.62,0.71,0.57,0.69,0,0,0.17,0.23,0.32,0.06,0,1,0.83,0.77,0.68,0.94,0
"219","Descendants,-The","219"," 283","2011","comedy","drama",""," 0.81538462"," 0.48499631","0.44915254","0.5948068",0,0.63,0.33,0.39,0.47,0,0,0.29,0.8,0.61,0.61,0,0,0.71,0.2,0.39,0.39,0
"220","Detroit-Rock-City","220"," 285","1999","comedy","music",""," 2.55172414"," 1.18288867","0.71844660","0.4635645",1,0.78,0.85,0.61,0.65,0,1,0.73,0.1,0.75,0,0,0,0.27,0.9,0.25,1,0
"221","Devil-in-a-Blue-Dress","221"," 286","1995","crime","drama","fantasy"," 1.02000000"," 0.71932857","0.50495049","0.7052241",1,0.52,0.5,0.52,0.48,0,0,0.5,0.69,0.76,0.29,0,1,0.5,0.31,0.24,0.71,0
"222","Devil's-Advocate","222"," 287","1997","fantasy","drama","action"," 2.96551724"," 1.72338038","0.74782609","0.5811399",1,0.76,0.79,0.5,0.95,1,0,0.46,0.66,0.21,0.51,1,1,0.54,0.34,0.79,0.49,1
"223","Die-Hard","223"," 289","1988","action","action",""," 2.93333333"," 1.27203142","0.74576271","0.4336471",1,0.93,0.73,0.67,0.64,0,0,0.1,0,0.1,0.2,0,0,0.9,1,0.9,0.8,0
